,Event_Name,Tweet_Timestamp,Hour,Day,Count
88,AZ election campaign,11/21/2022 4:00,4,11/21/2022,0
89,AZ election campaign,11/21/2022 5:00,5,11/21/2022,0
90,AZ election campaign,11/21/2022 6:00,6,11/21/2022,0
91,AZ election campaign,11/21/2022 7:00,7,11/21/2022,0
92,AZ election campaign,11/21/2022 8:00,8,11/21/2022,0
93,AZ election campaign,11/21/2022 9:00,9,11/21/2022,0
94,AZ election campaign,11/21/2022 10:00,10,11/21/2022,0
95,AZ election campaign,11/21/2022 11:00,11,11/21/2022,0
96,AZ election campaign,11/21/2022 12:00,12,11/21/2022,0
97,AZ election campaign,11/21/2022 13:00,13,11/21/2022,1
98,AZ election campaign,11/21/2022 14:00,14,11/21/2022,0
99,AZ election campaign,11/21/2022 15:00,15,11/21/2022,0
100,AZ election campaign,11/21/2022 16:00,16,11/21/2022,0
101,AZ election campaign,11/21/2022 17:00,17,11/21/2022,0
102,AZ election campaign,11/21/2022 18:00,18,11/21/2022,0
103,AZ election campaign,11/21/2022 19:00,19,11/21/2022,0
104,AZ election campaign,11/21/2022 20:00,20,11/21/2022,0
105,AZ election campaign,11/21/2022 21:00,21,11/21/2022,0
106,AZ election campaign,11/21/2022 22:00,22,11/21/2022,0
107,AZ election campaign,11/21/2022 23:00,23,11/21/2022,0
108,AZ election campaign,11/22/2022 0:00,0,11/22/2022,0
109,AZ election campaign,11/22/2022 1:00,1,11/22/2022,0
110,AZ election campaign,11/22/2022 2:00,2,11/22/2022,0
111,AZ election campaign,11/22/2022 3:00,3,11/22/2022,0
112,AZ election campaign,11/22/2022 4:00,4,11/22/2022,0
113,AZ election campaign,11/22/2022 5:00,5,11/22/2022,0
114,AZ election campaign,11/22/2022 6:00,6,11/22/2022,0
115,AZ election campaign,11/22/2022 7:00,7,11/22/2022,0
116,AZ election campaign,11/22/2022 8:00,8,11/22/2022,0
117,AZ election campaign,11/22/2022 9:00,9,11/22/2022,0
118,AZ election campaign,11/22/2022 10:00,10,11/22/2022,0
119,AZ election campaign,11/22/2022 11:00,11,11/22/2022,0
120,AZ election campaign,11/22/2022 12:00,12,11/22/2022,0
121,AZ election campaign,11/22/2022 13:00,13,11/22/2022,1
122,AZ election campaign,11/22/2022 14:00,14,11/22/2022,0
123,AZ election campaign,11/22/2022 15:00,15,11/22/2022,0
124,AZ election campaign,11/22/2022 16:00,16,11/22/2022,0
125,AZ election campaign,11/22/2022 17:00,17,11/22/2022,0
126,AZ election campaign,11/22/2022 18:00,18,11/22/2022,0
127,AZ election campaign,11/22/2022 19:00,19,11/22/2022,0
128,AZ election campaign,11/22/2022 20:00,20,11/22/2022,0
129,AZ election campaign,11/22/2022 21:00,21,11/22/2022,0
130,AZ election campaign,11/22/2022 22:00,22,11/22/2022,0
131,AZ election campaign,11/22/2022 23:00,23,11/22/2022,0
132,AZ election campaign,11/23/2022 0:00,0,11/23/2022,0
133,AZ election campaign,11/23/2022 1:00,1,11/23/2022,0
134,AZ election campaign,11/23/2022 2:00,2,11/23/2022,0
135,AZ election campaign,11/23/2022 3:00,3,11/23/2022,0
136,AZ election campaign,11/23/2022 4:00,4,11/23/2022,0
137,AZ election campaign,11/23/2022 5:00,5,11/23/2022,0
138,AZ election campaign,11/23/2022 6:00,6,11/23/2022,0
139,AZ election campaign,11/23/2022 7:00,7,11/23/2022,0
140,AZ election campaign,11/23/2022 8:00,8,11/23/2022,0
141,AZ election campaign,11/23/2022 9:00,9,11/23/2022,0
142,AZ election campaign,11/23/2022 10:00,10,11/23/2022,0
143,AZ election campaign,11/23/2022 11:00,11,11/23/2022,0
144,AZ election campaign,11/23/2022 12:00,12,11/23/2022,0
